"rep","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","mean_margin","median_margin","mean_rho","max_rho","mean_kappa","max_kappa","method_global_ls","method_lss1","method_oasis_voxel","density","n_atoms","n_lags","n_widths","sbhm_rank"
1,0.211992019286196,4.72474339654442,-0.130034849529807,-0.200295089390968,0.559027777777778,TRUE,NA,0.0664305260330556,0.0586335388599933,0.9341923372065,0.956886854573893,269.545517664882,586.823650681138,0,0,16,"moderate",15,5,3,8
2,0.239588880940711,4.80467969184667,-0.407179034324614,-0.113898192637835,0.541666666666667,TRUE,NA,0.0559275111054434,0.0514996077192066,0.937835308594161,0.956886854573893,370.514534982359,1357.82641420375,0,0,16,"moderate",15,5,3,8
3,0.197588682553297,4.72179308340388,-0.391970731369377,0.06602105787966,0.564236111111111,TRUE,NA,0.0599378812950506,0.0522278821466068,0.938865539831183,0.96988038066366,362.545374820181,1767.06258901363,0,0,16,"moderate",15,5,3,8
4,0.234996701940362,4.16673748933765,-0.2972405825868,0.0702952595935995,0.559027777777778,TRUE,NA,0.0585662529303644,0.0497161040806282,0.943942310343859,0.967156982439691,660.805132319976,1362.55625457763,0,0,16,"moderate",15,5,3,8
5,0.257891648555769,3.50381841444547,-0.157380292339277,0.00124422472883171,0.586805555555556,TRUE,NA,0.0737139969579164,0.0386811823348297,0.937802573902209,0.959539610553706,498.606026826132,1441.89239167897,0,0,16,"moderate",15,5,3,8
6,0.209135799040601,3.50026742652503,-0.434780392944631,-0.097597942344544,0.559027777777778,TRUE,NA,0.0676872259683449,0.053983560776476,0.941802860499615,0.967156982439691,646.798478638232,1362.55625457763,0,0,16,"moderate",15,5,3,8
7,0.176589551626785,4.03680190015862,-0.512771836809054,0.091589650922658,0.564236111111111,TRUE,NA,0.082739813188979,0.0619979066316035,0.935123441680006,0.956886854573893,383.834371286139,1357.82641420375,0,0,16,"moderate",15,5,3,8
8,0.28957794384764,4.07190291845827,-0.114280499517932,0.0187021557560338,0.581597222222222,TRUE,NA,0.0698649575376868,0.0694769795731269,0.934695872776692,0.956886854573893,317.468520225158,586.823650681138,0,0,16,"moderate",15,5,3,8
9,0.224086200785152,2.88157919142358,-0.354777677909279,0.0127197496383595,0.567708333333333,TRUE,NA,0.0830660731619184,0.0820374604058347,0.944047124642235,0.967156982439691,653.759012925987,1362.55625457763,0,0,16,"moderate",15,5,3,8
10,0.218988750344213,4.91511804863562,-0.24088199086105,-0.0113850773261122,0.557291666666667,TRUE,NA,0.0544636485505789,0.0521189970862262,0.940648423601675,0.957119052813892,529.623620049398,1357.82641420375,0,0,16,"moderate",15,5,3,8
11,0.300926413915269,3.62350540598436,0.0178071449509697,-0.0136957334215751,0.571180555555556,TRUE,NA,0.0449258258508987,0.0272464596225355,0.942216046583667,0.959539610553706,636.577603001863,1441.89239167897,0,0,16,"moderate",15,5,3,8
12,0.234844989199405,4.83674608314658,-0.151386747628865,0.00461154004109493,0.579861111111111,TRUE,NA,0.0682599038035166,0.0585151954529122,0.934893183932156,0.956886854573893,311.757466788735,1357.82641420375,0,0,16,"moderate",15,5,3,8
13,0.226552601017353,3.5910494899717,-0.362567454957125,0.0910402238472937,0.559027777777778,TRUE,NA,0.0523636618268914,0.03090389739901,0.940357774596113,0.956886854573893,575.340708742839,1357.82641420375,0,0,16,"moderate",15,5,3,8
14,0.272662757911836,4.091107706049,-0.121738095567389,0.0263496463594798,0.579861111111111,TRUE,NA,0.0798602306158443,0.0720185345670476,0.94012527110049,0.967156982439691,498.586927766295,1362.55625457763,0,0,16,"moderate",15,5,3,8
15,0.224624120225668,5.29583854932506,-0.185521422477189,-0.130719832740844,0.550347222222222,TRUE,NA,0.0548642495511537,0.0493743961524407,0.931064997314266,0.938079977302471,214.132710942392,463.750592011235,0,0,16,"moderate",15,5,3,8
16,0.315194152865115,4.74503579391689,0.120035633613181,-0.113088647854501,0.614583333333333,TRUE,NA,0.0848075804497499,0.0742757907835851,0.939036874320941,0.957284831242053,465.978867071947,1327.47422940517,0,0,16,"moderate",15,5,3,8
