"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","hrf_regime","ar_regime","isi_regime","amp_regime","cell","oasis_variant"
1,"fmrilss_sbhm",0.339146529196229,3.45670998237699,0.291267320974681,0.0151376810230074,0.608796296296296,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3",NA
1,"fmrilss_oasis_best",0.418727509629636,2.31398109542146,0.103256792937596,0.0210151853833396,0.627314814814815,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3","fmrilss_oasis[fractional|x=0.05|b=0.05]"
1,"st_default",0.368671514337186,1.16929737679932,-0.942096761488518,-0.0141003219180888,0.618055555555556,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1",NA
1,"fmrilss_lss",0.324539288341149,3.67551134318121,0.0546344227639088,0.00467802759378762,0.594907407407407,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1",NA
1,"hrfals_fastlss[r]",0.324771150585789,3.69814393254344,-0.083698063218405,-0.321553873491768,0.581018518518518,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1",NA
1,"hrfals_fastlss[cpp]",0.324771150585789,3.69814393254344,-0.0836980632184055,-0.321553873491768,0.581018518518518,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1",NA
1,"hrfals_fit[ls_svd_only]",0.135489443626796,1.22316316091801,-0.967741968325412,-0.00869619024652308,0.534722222222222,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1",NA
1,"hrfals_fit[ls_svd_1als]",0.17733343239939,1.86436686366656,-0.796881464051743,-0.153902193866677,0.523148148148148,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1",NA
1,"hrfals_fit[cf_als]",0.17733343239939,1.86433650587347,-0.796885549143373,-0.153895380775673,0.523148148148148,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1",NA
1,"fmrilss_sbhm",0.250759901551604,5.39725159788835,0.219292154274114,-0.157380469238213,0.564814814814815,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1",NA
1,"fmrilss_oasis_best",0.324757085842445,3.45238350369888,-0.00980576406878277,-0.0127093341448231,0.590277777777778,TRUE,NA,"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","nominal","ar_high","isi_dense","amp_high","h1_r3_c1","fmrilss_oasis[fractional|x=0.05|b=0.05]"
1,"st_default",0.3374820974691,0.982866580500303,-0.854784542932718,-0.0254771682810629,0.615740740740741,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2",NA
1,"fmrilss_lss",0.307998862216042,2.58500656120298,-0.171561980845391,-0.0324384050797649,0.615740740740741,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2",NA
1,"hrfals_fastlss[r]",0.317504835051221,2.64615620211703,-0.192412222148727,-0.176275390437087,0.62037037037037,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2",NA
1,"hrfals_fastlss[cpp]",0.317504835051221,2.64615620211703,-0.192412222148727,-0.176275390437087,0.62037037037037,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2",NA
1,"hrfals_fit[ls_svd_only]",0.0728612974593485,1.06232499868345,-0.974176825353055,-0.011947533031855,0.532407407407407,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2",NA
1,"hrfals_fit[ls_svd_1als]",0.0726615724152218,1.69804937410811,-0.939163785973825,-0.101932400241005,0.560185185185185,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2",NA
