"method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate","scenario"
"fmrilss_oasis[fractional|x=0.02|b=0]",8,0.626692495442764,0.62533951342744,0.0165833073142107,1.30931392458408,1.30899846789945,0.0445301015813629,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.05|b=0.01]",8,0.626750245095427,0.6254683459588,0.0165801944432968,1.26727896585532,1.26733044730011,0.0417281778275099,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.05|b=0.02]",8,0.626777684162654,0.625523761065464,0.0165786855693352,1.2660402364774,1.26603289788164,0.041077648541495,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",8,0.626854854596718,0.625681588927184,0.0165742287938442,1.26256190285631,1.26239108708998,0.0392426845785643,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.05|b=0]",8,0.62672188459452,0.625411437054007,0.0165817147281401,1.26856023432759,1.268672874691,0.0423994314440946,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0|b=0.01]",8,0.626700693124675,0.625347153890601,0.0165829251406428,1.33705996644057,1.3365017202724,0.0453351603383375,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0|b=0.02]",8,0.626729173394122,0.625404255838896,0.0165814499261588,1.33567510051303,1.33525876991151,0.044649609449194,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0|b=0.05]",8,0.626809260606307,0.625566854037812,0.0165770933170798,1.33178241097267,1.33126535562258,0.0427164025507144,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0|b=0]",8,0.62667125419375,0.625288506268616,0.016584411697356,1.33849165729687,1.33778818399451,0.0460426583498957,1,"baseline__sbhm_default_gls"
"fmrilss_sbhm",8,0.319455889861389,0.327192331809007,0.0597212314241592,4.48442125658739,4.5554673200216,0.696506585209297,1,"baseline__sbhm_default_gls"
"st_default",8,0.633518540120085,0.635812379943668,0.0157489420812036,0.801499812010878,0.805269254887561,0.0230841151909996,1,"baseline__sbhm_default_gls"
"fmrilss_lss",8,0.62215390668279,0.623595326699293,0.0215921720034755,1.3347475182613,1.3291377527544,0.045326000685714,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.01|b=0.01]",8,0.622161782491591,0.623615907432535,0.0215970075440949,1.31873817382867,1.31305415812434,0.0444196206923907,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.01|b=0.02]",8,0.622164227570361,0.623620936743176,0.0215987536051709,1.31853593629619,1.3128640412649,0.0443114748349147,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.01|b=0.05]",8,0.622171469031329,0.623635898832347,0.0216039495831103,1.31793547109676,1.31231498032156,0.0439902163371558,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.01|b=0]",8,0.622159321587956,0.623610856936694,0.0215952543802434,1.31894146418253,1.31324528861518,0.0445283017837219,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.02|b=0.01]",8,0.622166900416654,0.62363095991552,0.0216000141770913,1.30341553150516,1.29823035236809,0.0436450249932198,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.02|b=0.02]",8,0.622169318931425,0.623635957505712,0.021601750488918,1.30321831655223,1.29805388515438,0.0435380551253073,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.02|b=0.05]",8,0.622176481634372,0.62365082536083,0.0216069174921512,1.30263278639675,1.2975300018391,0.0432202857447465,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.02|b=0]",8,0.622164466234662,0.623625941296445,0.0215982708084698,1.30361377693126,1.29840774964773,0.04375252354436,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.05|b=0.01]",8,0.62218076676187,0.623673618862604,0.0216086596255137,1.26015338629049,1.25659483643348,0.0414494122967792,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.05|b=0.02]",8,0.622183111089981,0.62367852693883,0.0216103678845949,1.25997008003832,1.25638811098567,0.0413459246472898,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.05|b=0.05]",8,0.622190053852299,0.62369312886795,0.0216154515163404,1.25942590609356,1.25578838244636,0.0410384900081172,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0.05|b=0]",8,0.622178407208666,0.623668690198466,0.021606944442132,1.26033766071742,1.2568026633355,0.041553409761918,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0|b=0.01]",8,0.622156395302949,0.623600410086125,0.0215939351729018,1.33453897227855,1.32894120152203,0.0452161264407806,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0|b=0.02]",8,0.622158867935066,0.623605472126433,0.0215956911926207,1.33433150232574,1.32874568761172,0.0451067941174975,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0|b=0.05]",8,0.622166191089324,0.623620531447617,0.0216009167677953,1.33371547767047,1.32816530043458,0.0447820158853389,1,"baseline__sbhm_lss1"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.62215390668279,0.623595326699293,0.0215921720034755,1.3347475182613,1.3291377527544,0.045326000685714,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.01|b=0.01]",8,0.622174728267663,0.623642364843355,0.0216063480033767,1.31868205487885,1.313070118919,0.043882291779026,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.01|b=0.02]",8,0.622189845563899,0.623674033264048,0.0216173548511376,1.31741734084974,1.31192446920596,0.0432052831214411,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.01|b=0.05]",8,0.622231621640955,0.623764138828462,0.0216487277583448,1.31386446078885,1.30874343585517,0.0412979384637728,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.01|b=0]",8,0.622158965829649,0.623609826035247,0.0215950490470325,1.31998991711835,1.31429953491496,0.0445812903816508,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.02|b=0.01]",8,0.622179391173177,0.623656283548308,0.0216091086741417,1.30437200567961,1.29923126369717,0.0431637543590963,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.02|b=0.02]",8,0.622194354134505,0.623687766250682,0.0216200584046381,1.30313684127817,1.29812623967156,0.0424935780539942,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.02|b=0.05]",8,0.622235700464773,0.623777348037625,0.0216512698589168,1.29966779305585,1.29502439406349,0.0406053369720439,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.02|b=0]",8,0.622163789076997,0.623623936438078,0.0215978685978086,1.30564946029249,1.30037444962412,0.043855670483505,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.05|b=0.01]",8,0.622192100767636,0.623695877786746,0.0216170688330923,1.26380488189774,1.26003910546486,0.0411197134930126,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.05|b=0.02]",8,0.622206630770776,0.623726834298895,0.0216278537708786,1.26265195781166,1.25901167547508,0.0404698002383958,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",8,0.622246771893486,0.623814932053899,0.0216585994391555,1.25941614221612,1.25612986633812,0.0386383202062234,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.05|b=0]",8,0.622176948549579,0.623664073802914,0.0216059986418697,1.26499769325127,1.2612700901166,0.0417906439792265,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0|b=0.01]",8,0.622169835032521,0.623628062891915,0.0216035310195842,1.33340806362298,1.32787574802115,0.0446198609076059,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0|b=0.02]",8,0.622185112036867,0.623659922539054,0.0216145961302756,1.33211264603019,1.3266561745795,0.0439359660455109,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0|b=0.05]",8,0.622227332889252,0.623750567409349,0.021646133735089,1.32847264587829,1.3232344929903,0.0420093828087704,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0|b=0]",8,0.62215390668279,0.623595326699293,0.0215921720034755,1.3347475182613,1.3291377527544,0.045326000685714,1,"baseline__sbhm_lss1"
