"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","regime","lag","widen"
"medium__lag3__widen0","hrfals_fit[ls_svd_1als]",20,0.10416889152453,0.102722608489546,0.0573036772580517,1.37007932247341,1.35914434971921,0.0534829566533817,-0.90226376434927,-0.900196459869533,0.0518597729150981,0.90226376434927,0.0261514941423124,0.0310223427586641,0.0796184706651773,0.0649080844067647,0.539930555555556,0.537037037037037,0.0196830912305793,1,"medium",3,0
"medium__lag3__widen0","hrfals_fit[ls_svd_only]",20,0.0287464096434135,0.0289099471413004,0.0500092481036658,1.1189632076325,1.11416226244282,0.0497189887668751,-0.992575129267418,-0.993323008431828,0.0202673054787827,0.992575129267418,0.00749227506764849,0.01184226501182,0.019739692590283,0.016836783068423,0.513310185185185,0.515046296296296,0.0218298464173912,1,"medium",3,0
"medium__lag2__widen2","fmrilss_sbhm",20,0.402549801656569,0.40466097107597,0.0366869954826627,3.07650945048572,3.05841408164767,0.24904772586443,0.286643713972769,0.302864909248401,0.141935198537355,0.286643713972769,-0.000253801377138082,-0.00139872105073179,0.109939509365409,0.0766273319103822,0.625810185185185,0.618055555555556,0.0232123257520284,1,"medium",2,2
"medium__lag2__widen2","hrfals_fastlss[cpp]",20,0.362222842712799,0.363511640534122,0.0396367693327204,2.11478861033482,2.08077109109975,0.149882873479422,-0.220909724775552,-0.207375373873438,0.0957487996435609,0.220909724775552,-0.00509655728956005,-0.00203252331656967,0.118603076867661,0.0806410542501101,0.61400462962963,0.612268518518519,0.0247596356883152,1,"medium",2,2
"medium__lag2__widen2","hrfals_fastlss[r]",20,0.362222842712799,0.363511640534122,0.0396367693327204,2.11478861033482,2.08077109109975,0.149882873479422,-0.220909724775551,-0.207375373873438,0.0957487996435609,0.220909724775551,-0.00509655728956012,-0.00203252331656979,0.118603076867661,0.0806410542501101,0.61400462962963,0.612268518518519,0.0247596356883152,1,"medium",2,2
"medium__lag2__widen2","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.354504499415019,0.3568981686146,0.0404456337140913,2.04540478004292,2.03188558531851,0.136906003611152,-0.260131336555039,-0.260770433485326,0.0884938793228032,0.260131336555039,-0.000192817864286862,0.000502435513565944,0.0782379731682823,0.0583453618884024,0.606481481481482,0.603009259259259,0.0242663635565758,1,"medium",2,2
"medium__lag2__widen2","fmrilss_lss",20,0.353609473651397,0.356047872213079,0.0404813959630727,2.1499918649116,2.13436020887968,0.145244979300077,-0.222093743190811,-0.223286547796108,0.0930957236597261,0.222093743190811,0.000394292757697338,0.00136362125199614,0.0804500368495218,0.0604174435762494,0.606597222222222,0.604166666666667,0.0239325551584408,1,"medium",2,2
"medium__lag2__widen2","st_default",20,0.346001320122262,0.340676673035804,0.0436860718865199,1.06988233124992,1.07251128140278,0.0567616268777665,-0.736277125427672,-0.729927161112407,0.0332931692232376,0.736277125427672,-0.000710081096593787,-0.000844177916921844,0.0399601513516658,0.0299537543207557,0.611921296296296,0.608796296296296,0.0241063263301525,1,"medium",2,2
"medium__lag2__widen2","hrfals_fit[cf_als]",20,0.1521177791617,0.143081622030086,0.0448273080464871,1.31238306804465,1.31294826586534,0.0537052047737928,-0.856394544081085,-0.860600277538677,0.0498452048840041,0.856394544081085,0.012315026380205,0.0163445230135002,0.0574931449000858,0.045276592242725,0.54537037037037,0.540509259259259,0.023491604068252,1,"medium",2,2
"medium__lag2__widen2","hrfals_fit[ls_svd_1als]",20,0.1521177791617,0.143081622030086,0.0448273080464871,1.31238396586382,1.31295239879251,0.0537061797942795,-0.856392764977043,-0.860597470022675,0.0498452857465387,0.856392764977043,0.0123151941051185,0.0163450661585424,0.0574930779176088,0.0452767743708778,0.54537037037037,0.540509259259259,0.023491604068252,1,"medium",2,2
