"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate","oasis_variant"
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_sbhm",6,0.226298729752592,0.224345035137275,0.0260294001931715,3.85075095462716,3.5156956714205,0.699365444320817,1,NA
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_oasis_best",6,0.149976522667153,0.150137955281646,0.041379977838988,4.0289824178886,3.96835392618804,0.366521996118882,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",6,0.224661382095788,0.240047474326307,0.0527527820803775,3.23990930429056,3.2259352812508,0.210059919853956,1,NA
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","st_default",6,0.219302014358219,0.222986887049637,0.0530261226479189,0.969092347030558,0.970230844455732,0.0363933710949969,1,NA
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_lss",6,0.214441677751103,0.220557727405854,0.0460552023146106,3.16578833539204,3.20448517417412,0.224382329902822,1,NA
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_oasis_best",6,0.218137615136284,0.22509660567501,0.0464236057545587,2.89770858597396,2.93014705328432,0.182350697672309,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",6,0.279454126997874,0.305953253636303,0.0590612875085409,3.10189493560529,3.13656657583048,0.244694291276625,1,NA
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_lss",6,0.269118803164228,0.273006215322203,0.0420896985573813,2.94996850275132,2.91446975301504,0.172684781847172,1,NA
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","st_default",6,0.248541582131272,0.243266794556577,0.0406283582688389,1.0421368665032,1.04722322291164,0.0601052369911181,1,NA
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis_best",6,0.157655566653185,0.158979425731649,0.0371637411330411,3.37153770315022,3.39540489240085,0.163340727208292,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
