"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","global_hrf","hetero"
2,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.0702862901698026,3.77717191047735,-0.773897702093116,-0.0679452115055757,0.546296296296296,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.0687694458092256,3.89383135109829,-0.770677951494086,-0.0691333717634022,0.546296296296296,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.111542777074875,2.59657935587629,-0.747700986229554,-0.0512850007719921,0.569444444444444,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.109515054730385,2.67278102517583,-0.745383010866744,-0.0522243993873535,0.564814814814815,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.0704069125915334,3.77656836288318,-0.773409147495159,-0.0679890431052112,0.541666666666667,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.0701481318069424,3.896133041618,-0.764615772841463,-0.0684849616840391,0.546296296296296,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.111748151239787,2.59617130925749,-0.747273354793933,-0.0513321981773872,0.571759259259259,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.111428607919669,2.67399457114258,-0.740417572023443,-0.0517150437748976,0.5625,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_sbhm",0.238950095688257,3.80270661017957,-0.258917498940669,0.115132670745363,0.581018518518518,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"st_default",0.372745614535718,1.1757048182644,-0.89574596910187,-0.111480487907525,0.611111111111111,TRUE,NA,"hard__nominal__none","hard","nominal","none"
1,"fmrilss_lss",0.300316765203278,3.47130551649259,-0.168112020583121,0.0308638369299944,0.594907407407407,TRUE,NA,"hard__nominal__none","hard","nominal","none"
1,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.0908474986444557,5.46920768438721,-0.579506648457151,-0.0832252411172446,0.49537037037037,TRUE,NA,"hard__nominal__none","hard","nominal","none"
1,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.0896741703041939,5.48244955360782,-0.581394810987609,-0.0797088969955582,0.472222222222222,TRUE,NA,"hard__nominal__none","hard","nominal","none"
1,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.131661858443159,3.73914616009088,-0.589500516549174,-0.0796863678572134,0.516203703703704,TRUE,NA,"hard__nominal__none","hard","nominal","none"
1,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.129945740628382,3.79616898795459,-0.587883878855989,-0.0787893902785799,0.493055555555556,TRUE,NA,"hard__nominal__none","hard","nominal","none"
1,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.0909961218203136,5.45485334260411,-0.579600168484631,-0.0825050032949434,0.49537037037037,TRUE,NA,"hard__nominal__none","hard","nominal","none"
1,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.0899985565815785,5.45914094675198,-0.581713513594396,-0.0859618329380595,0.469907407407407,TRUE,NA,"hard__nominal__none","hard","nominal","none"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.131991640873837,3.73145420662744,-0.58931898597345,-0.0791718796538439,0.511574074074074,TRUE,NA,"hard__nominal__none","hard","nominal","none"
