"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","lag","widen"
2,"st_default",0.342881783192327,0.948829555886975,-0.957252783794724,0.00676224517597522,0.627314814814815,TRUE,NA,"medium__lag1__widen1","medium",1,1
2,"fmrilss_lss",0.324400270506471,3.10125371415135,0.0841274794319154,-0.0239052583440701,0.618055555555556,TRUE,NA,"medium__lag1__widen1","medium",1,1
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.324676490995122,2.90905001360729,0.0183904907413353,-0.0253980618070172,0.622685185185185,TRUE,NA,"medium__lag1__widen1","medium",1,1
2,"fmrilss_sbhm",0.140272992341865,3.49900320121106,-0.521174928304225,-0.0537115176108597,0.5625,TRUE,NA,"medium__lag1__widen1","medium",1,1
1,"st_default",0.304165013507928,0.958757544744039,-0.967598300821287,0.0071585831994414,0.604166666666667,TRUE,NA,"medium__lag1__widen2","medium",1,2
1,"fmrilss_lss",0.297601034385675,2.75914479167215,-0.10632974245005,0.0789938890361625,0.613425925925926,TRUE,NA,"medium__lag1__widen2","medium",1,2
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.218585491179354,2.43924552520901,-0.442846947714345,0.0519494264429379,0.587962962962963,TRUE,NA,"medium__lag1__widen2","medium",1,2
1,"fmrilss_sbhm",0.206143528305123,3.20272587962876,-0.329454459632966,0.0312493180699999,0.587962962962963,TRUE,NA,"medium__lag1__widen2","medium",1,2
2,"st_default",0.413131313891888,1.05137835243079,-0.946032440304454,-0.00576445670640609,0.625,TRUE,NA,"medium__lag1__widen2","medium",1,2
2,"fmrilss_lss",0.384413287583277,2.75497620564196,0.0540783181187613,0.158224742790016,0.641203703703704,TRUE,NA,"medium__lag1__widen2","medium",1,2
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.242494107363951,2.49366145427267,-0.404422711335309,0.0830264602034155,0.548611111111111,TRUE,NA,"medium__lag1__widen2","medium",1,2
2,"fmrilss_sbhm",0.322808522709384,2.83036211687782,-0.110545993989056,0.235451417184071,0.62962962962963,TRUE,NA,"medium__lag1__widen2","medium",1,2
1,"st_default",0.325063851606373,1.06567613818748,-0.956040805871055,-0.00352691695534295,0.618055555555556,TRUE,NA,"medium__lag2__widen0","medium",2,0
1,"fmrilss_lss",0.328015863803401,2.68568842238845,-0.15759424192228,0.0566866543905677,0.62037037037037,TRUE,NA,"medium__lag2__widen0","medium",2,0
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.141978825979461,2.93561126196879,-0.63137736831638,0.0261693816152176,0.553240740740741,TRUE,NA,"medium__lag2__widen0","medium",2,0
1,"fmrilss_sbhm",0.266114605322079,2.91734426961309,-0.262171920063283,0.0905010508469935,0.622685185185185,TRUE,NA,"medium__lag2__widen0","medium",2,0
2,"st_default",0.332814939811913,1.07697642512643,-0.904196776948142,0.0279748602419961,0.622685185185185,TRUE,NA,"medium__lag2__widen0","medium",2,0
2,"fmrilss_lss",0.340390103280492,3.02886095281953,-0.0362233939936229,-0.00986302624006436,0.638888888888889,TRUE,NA,"medium__lag2__widen0","medium",2,0
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.304149454102299,2.95703773815793,-0.191724860855326,0.00677114668119295,0.622685185185185,TRUE,NA,"medium__lag2__widen0","medium",2,0
2,"fmrilss_sbhm",0.394677927916514,3.20373164631628,0.155725736705875,-0.0691293230301128,0.641203703703704,TRUE,NA,"medium__lag2__widen0","medium",2,0
1,"st_default",0.332526634320627,1.08468007708596,-0.93758245863166,0.0195024220410546,0.62037037037037,TRUE,NA,"medium__lag2__widen1","medium",2,1
1,"fmrilss_lss",0.335064589844625,2.99533085610235,-0.0391607391330833,0.0991626576445406,0.611111111111111,TRUE,NA,"medium__lag2__widen1","medium",2,1
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.248504353637581,3.11289376172291,-0.3152053301982,0.121317005550379,0.550925925925926,TRUE,NA,"medium__lag2__widen1","medium",2,1
1,"fmrilss_sbhm",0.332555776602254,3.34036243041605,0.116203314166808,0.076118506376198,0.587962962962963,TRUE,NA,"medium__lag2__widen1","medium",2,1
2,"st_default",0.241910666503732,1.09781233800322,-0.970118063321683,0.00320243377730018,0.608796296296296,TRUE,NA,"medium__lag2__widen1","medium",2,1
2,"fmrilss_lss",0.217347446458191,2.43956210524552,-0.502842432848178,0.0136520510814313,0.553240740740741,TRUE,NA,"medium__lag2__widen1","medium",2,1
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.171391633938355,2.92102087210946,-0.53795080516013,0.0557277603614377,0.546296296296296,TRUE,NA,"medium__lag2__widen1","medium",2,1
