"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","oasis_variant"
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","fmrilss_sbhm",6,0.313501930130781,0.317170225990014,0.0711522861067316,3.12414565623552,3.08124527960146,0.330099564647308,-0.250147553855533,-0.247656285887999,0.183396673320446,0.250147553855533,-0.0228286184235955,-0.00308020624479236,0.0945934449223931,0.0702833691296393,0.60570987654321,0.59837962962963,0.0204788078981897,1,NA
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","fmrilss_oasis_best",6,0.46028984547493,0.447618025823665,0.0265784319416005,2.11124311366996,2.12440012290383,0.149561953857672,-0.129801198533534,-0.121468364246518,0.0336912533440831,0.129801198533534,-0.0143692179765461,-0.0231886970562113,0.0540071012915223,0.0469239704246955,0.638888888888889,0.635416666666667,0.0140423619334288,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default",6,0.348690026682428,0.350039915870269,0.0171842188299744,1.03566788460941,1.03864978917806,0.0239399928400127,-0.941562796433685,-0.946302656372094,0.0214493347327024,0.941562796433685,-0.0101013618023274,-0.0040490273002591,0.0152806419917593,0.0113706941162953,0.60841049382716,0.608796296296296,0.0174713577743197,1,NA
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","fmrilss_lss",6,0.335177903174028,0.339513773080595,0.0226451590393476,2.81780000061692,2.83532255429478,0.192637650107324,-0.047730954607865,-0.0256024860924324,0.0943833734413907,0.0794893858397435,-0.0195651425844947,-0.0192654003709248,0.0420957761567959,0.0367899450807714,0.604166666666667,0.599537037037037,0.0153547443997935,1,NA
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","fmrilss_sbhm",6,0.249205031843218,0.255336610615065,0.0481786771310435,2.95306430840454,2.89199938947986,0.28115870286081,-0.281541233198472,-0.299957802372681,0.158145009786854,0.281541233198472,-0.0260374138304621,-0.0479088450187136,0.0553755328955186,0.0523216841792161,0.581404320987654,0.584490740740741,0.012197705020749,1,NA
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","fmrilss_oasis_best",6,0.335787067581902,0.340004724712124,0.0226562485404031,2.63901944467029,2.65775673126603,0.179475226696339,-0.107659383804572,-0.0869356466702078,0.0891023877854925,0.107659383804572,-0.0279645325746698,-0.0306964098408588,0.0390786881018991,0.0409083910053356,0.606481481481482,0.601851851851852,0.0158357697930436,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default",6,0.348565513664445,0.33670245792559,0.0406423912766426,1.19524733069,1.20728639220342,0.0997177464926318,-0.945963280968998,-0.959691973672949,0.0278491094553682,0.945963280968998,-0.00718204169442426,-0.00218319759870685,0.027444195204362,0.0205746966608835,0.601851851851852,0.600694444444444,0.0235611308333323,1,NA
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","fmrilss_lss",6,0.322205934173331,0.312728621830919,0.0248803724702,3.21307456624324,3.19499556500996,0.287208547444847,-0.109380021379256,-0.142684581394913,0.116011459642027,0.148567724277086,-0.0267180813204092,-0.0494827835332585,0.124433606498678,0.101677771673768,0.597222222222222,0.597222222222222,0.0164335549530545,1,NA
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","fmrilss_sbhm",6,0.23967930436937,0.247163522520527,0.0315448114174758,3.40344048706105,3.39837708808014,0.342179336975993,-0.285605308573131,-0.303152707105761,0.094887164737154,0.285605308573131,0.000933729918603266,-0.0139091342505608,0.136532995062965,0.108263475872499,0.576003086419753,0.585648148148148,0.0280624558600639,1,NA
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","fmrilss_oasis_best",6,0.323631385332775,0.314290221215234,0.0249885499657366,3.00512338428252,2.98510228151834,0.264422751775887,-0.163539996510809,-0.194649901908204,0.109425599681681,0.180770177341043,-0.0298251651762085,-0.0548051679043487,0.136091508199212,0.112585435758246,0.597608024691358,0.599537037037037,0.0163954701858609,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default",6,0.395699487965144,0.399952865761625,0.0437810637026273,0.953107428904573,0.951583088300323,0.0165285041917219,-0.938848975041128,-0.937734401932857,0.0137795915964916,0.938848975041128,0.00183432098598225,-0.00412823701885344,0.0178627652980568,0.0121865821548877,0.636188271604938,0.633101851851852,0.0217846909431344,1,NA
